Time,Susceptible,Exposed,Infectious,Recovered
1.1100,0.9084,0.0359,0.0424,0.0133
1.1200,0.9081,0.0362,0.0424,0.0134
1.1300,0.9078,0.0364,0.0423,0.0135
1.1400,0.9075,0.0366,0.0423,0.0136
1.1500,0.9072,0.0368,0.0422,0.0137
1.1600,0.9070,0.0370,0.0422,0.0138
1.1700,0.9067,0.0373,0.0421,0.0139
1.1800,0.9064,0.0375,0.0421,0.0140
1.1900,0.9061,0.0377,0.0420,0.0142
1.2000,0.9058,0.0379,0.0420,0.0143
1.2100,0.9055,0.0381,0.0419,0.0144
1.2200,0.9053,0.0384,0.0419,0.0145
1.2300,0.9050,0.0386,0.0419,0.0146
1.2400,0.9047,0.0388,0.0418,0.0147
1.2500,0.9044,0.0390,0.0418,0.0148
1.2600,0.9041,0.0392,0.0417,0.0149
1.2700,0.9039,0.0394,0.0417,0.0150
1.2800,0.9036,0.0396,0.0416,0.0152
1.2900,0.9033,0.0399,0.0416,0.0153
1.3000,0.9030,0.0401,0.0415,0.0154
1.3100,0.9027,0.0403,0.0415,0.0155
1.3200,0.9025,0.0405,0.0415,0.0156
1.3300,0.9022,0.0407,0.0414,0.0157
1.3400,0.9019,0.0409,0.0414,0.0158
1.3500,0.9016,0.0411,0.0413,0.0159
1.3600,0.9013,0.0413,0.0413,0.0160
1.3700,0.9011,0.0415,0.0412,0.0161
1.3800,0.9008,0.0417,0.0412,0.0162
1.3900,0.9005,0.0420,0.0412,0.0164
1.4000,0.9002,0.0422,0.0411,0.0165
1.4100,0.9000,0.0424,0.0411,0.0166
1.4200,0.8997,0.0426,0.0410,0.0167
1.4300,0.8994,0.0428,0.0410,0.0168
1.4400,0.8991,0.0430,0.0410,0.0169
1.4500,0.8989,0.0432,0.0409,0.0170
1.4600,0.8986,0.0434,0.0409,0.0171
1.4700,0.8983,0.0436,0.0409,0.0172
1.4800,0.8980,0.0438,0.0408,0.0173
1.4900,0.8978,0.0440,0.0408,0.0174
1.5000,0.8975,0.0442,0.0407,0.0176
1.5100,0.8972,0.0444,0.0407,0.0177
1.5200,0.8970,0.0446,0.0407,0.0178
1.5300,0.8967,0.0448,0.0406,0.0179
1.5400,0.8964,0.0450,0.0406,0.0180
1.5500,0.8961,0.0452,0.0406,0.0181
1.5600,0.8959,0.0454,0.0405,0.0182
1.5700,0.8956,0.0456,0.0405,0.0183
1.5800,0.8953,0.0458,0.0404,0.0184
1.5900,0.8951,0.0460,0.0404,0.0185
1.6000,0.8948,0.0462,0.0404,0.0186
1.6100,0.8945,0.0464,0.0403,0.0187
1.6200,0.8943,0.0466,0.0403,0.0189
1.6300,0.8940,0.0468,0.0403,0.0190
1.6400,0.8937,0.0470,0.0402,0.0191
1.6500,0.8935,0.0472,0.0402,0.0192
1.6600,0.8932,0.0474,0.0402,0.0193
1.6700,0.8929,0.0476,0.0401,0.0194
1.6800,0.8926,0.0477,0.0401,0.0195
1.6900,0.8924,0.0479,0.0401,0.0196
1.7000,0.8921,0.0481,0.0400,0.0197
1.7100,0.8918,0.0483,0.0400,0.0198
1.7200,0.8916,0.0485,0.0400,0.0199
1.7300,0.8913,0.0487,0.0399,0.0200
1.7400,0.8910,0.0489,0.0399,0.0201
1.7500,0.8908,0.0491,0.0399,0.0202
1.7600,0.8905,0.0493,0.0399,0.0204
1.7700,0.8903,0.0495,0.0398,0.0205
1.7800,0.8900,0.0497,0.0398,0.0206
1.7900,0.8897,0.0498,0.0398,0.0207
1.8000,0.8895,0.0500,0.0397,0.0208
1.8100,0.8892,0.0502,0.0397,0.0209
1.8200,0.8889,0.0504,0.0397,0.0210
1.8300,0.8887,0.0506,0.0396,0.0211
1.8400,0.8884,0.0508,0.0396,0.0212
1.8500,0.8881,0.0510,0.0396,0.0213
1.8600,0.8879,0.0511,0.0396,0.0214
1.8700,0.8876,0.0513,0.0395,0.0215
1.8800,0.8874,0.0515,0.0395,0.0216
