Generation,New Infections,Cumulative Infections
0,1,1
1,1,2
2,1,3
3,4,7
4,2,9
5,3,12
6,5,17
7,4,21
8,6,27
9,8,35
10,9,44
11,12,56
12,14,70
13,21,91
14,36,127
15,45,172
16,54,226
17,98,324
18,159,483
19,273,756
