Time,Susceptible,Infectious
18.9,0.889142,0.0220551
19,0.888611,0.0221421
19.1,0.888079,0.0222293
19.2,0.887548,0.0223168
19.3,0.887016,0.0224045
19.4,0.886485,0.0224926
19.5,0.885953,0.022581
19.6,0.885421,0.0226696
19.7,0.88489,0.0227585
19.8,0.884358,0.0228477
19.9,0.883826,0.0229372
20,0.883295,0.023027
20.1,0.882763,0.0231171
20.2,0.882231,0.0232075
20.3,0.881699,0.0232981
20.4,0.881168,0.0233891
20.5,0.880636,0.0234803
20.6,0.880104,0.0235719
20.7,0.879572,0.0236637
20.8,0.87904,0.0237558
20.9,0.878508,0.0238483
21,0.877976,0.023941
21.1,0.877444,0.024034
21.2,0.876912,0.0241273
21.3,0.87638,0.0242209
21.4,0.875848,0.0243149
21.5,0.875316,0.0244091
21.6,0.874784,0.0245036
21.7,0.874251,0.0245984
21.8,0.873719,0.0246935
21.9,0.873187,0.0247889
22,0.872655,0.0248847
22.1,0.872122,0.0249807
22.2,0.87159,0.025077
22.3,0.871057,0.0251737
22.4,0.870525,0.0252706
22.5,0.869992,0.0253678
22.6,0.86946,0.0254654
22.7,0.868927,0.0255633
22.8,0.868395,0.0256614
22.9,0.867862,0.0257599
23,0.867329,0.0258587
23.1,0.866796,0.0259578
23.2,0.866264,0.0260572
23.3,0.865731,0.0261569
23.4,0.865198,0.0262569
23.5,0.864665,0.0263573
23.6,0.864132,0.0264579
23.7,0.863599,0.0265589
23.8,0.863066,0.0266602
23.9,0.862533,0.0267618
24,0.862,0.0268637
24.1,0.861466,0.0269659
24.2,0.860933,0.0270685
24.3,0.8604,0.0271713
24.4,0.859866,0.0272745
24.5,0.859333,0.027378
24.6,0.858799,0.0274819
24.7,0.858266,0.027586
24.8,0.857732,0.0276905
24.9,0.857199,0.0277953
25,0.856665,0.0279004
25.1,0.856131,0.0280058
25.2,0.855597,0.0281116
25.3,0.855063,0.0282176
25.4,0.85453,0.0283241
25.5,0.853996,0.0284308
25.6,0.853461,0.0285378
25.7,0.852927,0.0286452
25.8,0.852393,0.0287529
25.9,0.851859,0.028861
26,0.851325,0.0289694
26.1,0.85079,0.0290781
26.2,0.850256,0.0291871
26.3,0.849721,0.0292965
26.4,0.849187,0.0294062
26.5,0.848652,0.0295162
26.6,0.848117,0.0296265
26.7,0.847583,0.0297372
26.8,0.847048,0.0298483
26.9,0.846513,0.0299596
27,0.845978,0.0300713
27.1,0.845443,0.0301833
27.2,0.844908,0.0302957
27.3,0.844373,0.0304084
27.4,0.843838,0.0305215
27.5,0.843302,0.0306348
27.6,0.842767,0.0307486
27.7,0.842231,0.0308626
27.8,0.841696,0.030977
27.9,0.84116,0.0310918
28,0.840625,0.0312069
28.1,0.840089,0.0313223
28.2,0.839553,0.0314381
28.3,0.839017,0.0315542
28.4,0.838481,0.0316706
28.5,0.837945,0.0317874
28.6,0.837409,0.0319046
28.7,0.836873,0.0320221
28.8,0.836337,0.0321399
28.9,0.8358,0.0322581
29,0.835264,0.0323767
29.1,0.834727,0.0324956
29.2,0.834191,0.0326148
29.3,0.833654,0.0327344
29.4,0.833117,0.0328543
29.5,0.83258,0.0329746
29.6,0.832043,0.0330953
29.7,0.831506,0.0332162
29.8,0.830969,0.0333376
29.9,0.830432,0.0334593
30,0.829895,0.0335814
30.1,0.829358,0.0337038
30.2,0.82882,0.0338265
30.3,0.828283,0.0339497
30.4,0.827745,0.0340731
30.5,0.827207,0.034197
30.6,0.826669,0.0343212
30.7,0.826132,0.0344457
30.8,0.825594,0.0345706
30.9,0.825055,0.0346959
31,0.824517,0.0348216
31.1,0.823979,0.0349476
31.2,0.823441,0.0350739
31.3,0.822902,0.0352006
31.4,0.822364,0.0353277
31.5,0.821825,0.0354552
31.6,0.821286,0.035583
31.7,0.820748,0.0357112
31.8,0.820209,0.0358397
31.9,0.81967,0.0359686
32,0.81913,0.0360979
32.1,0.818591,0.0362275
32.2,0.818052,0.0363575
32.3,0.817513,0.0364879
32.4,0.816973,0.0366187
32.5,0.816433,0.0367498
32.6,0.815894,0.0368813
32.7,0.815354,0.0370131
32.8,0.814814,0.0371454
32.9,0.814274,0.037278
33,0.813734,0.037411
33.1,0.813194,0.0375443
33.2,0.812653,0.037678
33.3,0.812113,0.0378121
33.4,0.811572,0.0379466
33.5,0.811032,0.0380815
33.6,0.810491,0.0382167
33.7,0.80995,0.0383523
33.8,0.809409,0.0384883
33.9,0.808868,0.0386246
34,0.808327,0.0387614
34.1,0.807786,0.0388985
34.2,0.807244,0.039036
34.3,0.806703,0.0391739
34.4,0.806161,0.0393121
34.5,0.805619,0.0394508
