Time,Susceptible,Exposed,Infected,Recovered
126,63.977760,2.810182,17.138932,916.073126
127,63.660615,2.606724,16.003056,917.729604
128,63.365938,2.418446,14.939470,919.276146
129,63.092102,2.244169,13.943962,920.719767
130,62.837603,2.082811,13.012512,922.067073
131,62.601051,1.933375,12.141297,923.324277
132,62.381156,1.794948,11.326678,924.497219
133,62.176726,1.666685,10.565205,925.591384
134,61.986656,1.547814,9.853609,926.611922
135,61.809922,1.437620,9.188793,927.563665
136,61.645576,1.335448,8.567833,928.451142
137,61.492738,1.240694,7.987967,929.278601
138,61.350593,1.152802,7.446587,930.050018
139,61.218384,1.071257,6.941240,930.769119
140,61.095409,0.995588,6.469614,931.439390
141,60.981017,0.925357,6.029533,932.064093
142,60.874603,0.860164,5.618954,932.646279
143,60.775606,0.799637,5.235955,933.188802
144,60.683505,0.743433,4.878733,933.694329
145,60.597815,0.691235,4.545598,934.165352
146,60.518088,0.642752,4.234962,934.604198
147,60.443906,0.597712,3.945338,935.013044
148,60.374881,0.555866,3.675334,935.393920
149,60.310652,0.516982,3.423645,935.748721
150,60.250884,0.480847,3.189051,936.079218
151,60.195266,0.447263,2.970408,936.387063
152,60.143508,0.416047,2.766649,936.673796
153,60.095342,0.387028,2.576775,936.940855
154,60.050516,0.360051,2.399851,937.189582
155,60.008800,0.334968,2.235004,937.421228
156,59.969975,0.311646,2.081421,937.636959
157,59.933841,0.289958,1.938339,937.837862
158,59.900212,0.269789,1.805047,938.024953
159,59.868912,0.251032,1.680881,938.199175
160,59.839780,0.233586,1.565222,938.361412
